trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3308867,18:08:00,18:08:00,7659,28,,0,0,40.1749,0
3308867,18:10:00,18:10:00,7660,29,,0,0,41.1329,0
3308867,18:13:00,18:13:00,7661,30,,0,0,41.6244,0
3308867,18:15:00,18:15:00,7662,31,,1,0,42.2882,1
3308868,16:28:00,16:28:00,7625,1,,0,1,0.0813,1
3308868,16:30:00,16:30:00,7626,2,,0,0,1.4841,0
3308868,16:33:00,16:33:00,7630,3,,0,0,4.0478,0
3308868,16:36:00,16:36:00,7631,4,,0,0,5.6132,1
3308868,16:38:00,16:38:00,7632,5,,0,0,6.6055,0
3308868,16:40:00,16:40:00,7634,6,,0,0,8.2029,0
3308868,16:42:00,16:42:00,7635,7,,0,0,9.0098,0
3308868,16:44:00,16:44:00,7637,8,,0,0,10.7426,0
3308868,16:46:00,16:46:00,7638,9,,0,0,11.4662,0
3308868,16:49:00,16:49:00,7639,10,,0,0,13.7097,0
3308868,16:51:00,16:51:00,7640,11,,0,0,14.1807,1
3308868,16:53:00,16:53:00,7641,12,,0,0,14.4571,0
3308868,16:55:31,16:55:31,7642,13,,0,0,14.8011,0
3308868,16:58:00,16:58:00,7643,14,,0,0,15.1781,1
3308868,17:01:00,17:01:00,7644,15,,0,0,15.6886,0
3308868,17:04:00,17:04:00,7645,16,,0,0,16.4422,0
3308868,17:06:00,17:06:00,7646,17,,0,0,16.9159,0
3308868,17:08:00,17:08:00,7648,18,,0,0,17.4115,1
3308868,17:09:00,17:09:00,7649,19,,1,1,17.5250,0
3308868,17:12:00,17:12:00,7650,20,,0,0,20.4141,0
3308868,17:14:00,17:14:00,7651,21,,0,0,21.9661,0
3308868,17:18:00,17:18:00,7652,22,,0,0,24.7226,0
3308868,17:19:00,17:19:00,7654,23,,0,0,25.8232,0
3308868,17:26:00,17:26:00,7655,24,,0,0,32.7440,0
3308868,17:28:00,17:28:00,7656,25,,0,0,33.2614,0
3308868,17:30:00,17:30:00,7657,26,,0,0,34.9715,1
3308868,17:35:00,17:35:00,7658,27,,0,0,38.8566,0
3308868,17:38:00,17:38:00,7659,28,,0,0,40.1749,0
3308868,17:40:00,17:40:00,7660,29,,0,0,41.1329,0
